Gen|1|1|10
Gen|1|2|29
Gen|1|3|11
Gen|1|4|17
Gen|1|5|22
Gen|1|6|23
Gen|1|7|26
Gen|1|8|16
Gen|1|9|25
Gen|1|10|24
Gen|1|11|34
Gen|1|12|33
Gen|1|13|10
Gen|1|14|34
Gen|1|15|22
Gen|1|16|26
Gen|1|17|16
Gen|1|18|25
Gen|1|19|10
Gen|1|20|29
Gen|1|21|34
Gen|1|22|23
Gen|1|23|10
Gen|1|24|30
Gen|1|25|34
Gen|1|26|50
Gen|1|27|22
Gen|1|28|46
Gen|1|29|42
Gen|1|30|39
Gen|1|31|25
Gen|2|1|14
Gen|2|2|28
Gen|2|3|25
Gen|2|4|28
Gen|2|5|44
Gen|2|6|17
Gen|2|7|27
Gen|2|8|20
Gen|2|9|43
Gen|2|10|22
Gen|2|11|21
Gen|2|12|15
Gen|2|13|20
Gen|2|14|25
Gen|2|15|22
Gen|2|16|18
Gen|2|17|29
Gen|2|18|24
Gen|2|19|44
Gen|2|20|33
Gen|2|21|29
Gen|2|22|21
Gen|2|23|27
Gen|2|24|22
Gen|2|25|14
Gen|3|1|38
Gen|3|2|19
Gen|3|3|32
Gen|3|4|12
Gen|3|5|27
Gen|3|6|51
Gen|3|7|25
Gen|3|8|39
Gen|3|9|14
Gen|3|10|22
Gen|3|11|25
Gen|3|12|23
Gen|3|13|27
Gen|3|14|43
Gen|3|15|28
Gen|3|16|35
Gen|3|17|53
Gen|3|18|19
Gen|3|19|33
Gen|3|20|15
Gen|3|21|18
Gen|3|22|41
Gen|3|23|21
Gen|3|24|35
Gen|4|1|22
Gen|4|2|22
Gen|4|3|23
Gen|4|4|27
Gen|4|5|20
Gen|4|6|16
Gen|4|7|33
Gen|4|8|29
Gen|4|9|22
Gen|4|10|19
Gen|4|11|21
Gen|4|12|25
Gen|4|13|14
Gen|4|14|49
Gen|4|15|32
Gen|4|16|22
Gen|4|17|30
Gen|4|18|18
Gen|4|19|21
Gen|4|20|20
Gen|4|21|19
Gen|4|22|22
Gen|4|23|36
Gen|4|24|11
Gen|4|25|31
Gen|4|26|28
Gen|5|1|24
Gen|5|2|21
Gen|5|3|25
Gen|5|4|20
Gen|5|5|16
Gen|5|6|11
Gen|5|7|17
Gen|5|8|15
Gen|5|9|8
Gen|5|10|17
Gen|5|11|15
Gen|5|12|8
Gen|5|13|17
Gen|5|14|15
Gen|5|15|10
Gen|5|16|17
Gen|5|17|16
Gen|5|18|13
Gen|5|19|15
